I                         i_b00                     i_b10                     i_b20                     i_b30                     i_b45                     
76                        74.26729302916124         73.19071282212634         72.71399004295473         72.89123497133126         73.87769966808685         
77                        75.25668974174116         74.16395450445384         73.63905204767315         73.73509841939551         74.55484957440362         
78                        76.24609837653605         75.1373599855511          74.56474960259338         74.58032491160897         75.23450698554527         
79                        77.2355192316098          76.11091819283789         75.49104026054664         75.42683017563218         75.91654176582092         
80                        78.22495260488931         77.08461842042341         76.41788290895849         76.27453227409518         76.60082628190753         
81                        79.21439879383529         78.05845029669756         77.34523766147369         77.12335143624134         77.28723527068098         
82                        80.20385809511055         79.03240375372438         78.27306575522893         77.97320989659806         77.97564570862073         
83                        81.19333080424641         80.0064689982518          79.20132945324242         78.82403174012873         78.66593668281156         
84                        82.18281721530713         80.98063648416407         80.12999195142537         79.67574275334395         79.35798926354535         
85                        83.17231762055268         81.95489688621836         81.05901728975512         80.52827028087439         80.05168637850889         
86                        84.16183231010041         82.92924107491761         81.98837026717926         81.38154308702799         80.74691268852871         
87                        85.15136157158541         83.90366009238191         82.91801635984631         82.23549122187494         81.44355446482916         
88                        86.1409056898203          84.8781451290894          83.84792164228256         83.09004589142124         82.14149946774911         
89                        87.13046494645437         85.85268750136534         84.7780527111552          83.94513933144832         82.8406368268508          
90                        88.12003961963272         86.82727862950412         85.70837661127949         84.80070468461123         83.54085692234574         
91                        89.10962998365542         87.8019100164145          86.63886076354362         85.65667588040101         84.24205126775367         
92                        90.09923630863722         88.77657322668303         87.56947289443767         86.5129875175881          84.94411239370388         
93                        91.08885886016799         89.75125986595309         88.50018096688474         87.36957474877489         85.64693373278158         
94                        92.07849789897423         90.72596156052106         89.43095311208003         88.22637316669281         86.35040950531651         
95                        93.06815368058216         91.70066993705184         90.36175756205152         89.08331869188768         87.05443460600698         
96                        94.05782645498238         92.67537660231683         91.29256258266024         89.94034746144224         87.75890449126766         
97                        95.04751646629661         93.65007312285884         92.22333640676082         90.79739571838863         88.46371506718707         
98                        96.03722395244678         94.62475100448603         93.1540471672449          91.65439970146737         89.16876257797728         
99                        97.0269491448267          95.59940167149726         94.08466282968813         92.51129553488995         89.87394349479702         
100                       98.01669226797672         96.57401644553772         95.01515112431959         93.36801911776234         90.57915440482695         
101                       99.00645353926168         97.54858652398133         95.94547947702738         94.22450601282564         91.28429190047557         
102                       99.99623316855231         98.52310295773209         96.87561493910799         95.08069133416673         91.98925246859311         
103                       100.9860313579105         99.49755662833195         97.80552411545816         95.93650963354759         92.693932379571           
104                       101.9758483012787         100.4719382242561         98.73517309089709         96.7918947849965          93.39822757620469         
105                       102.9656841841738         101.4462382162709         99.664527354295           97.64677986729666         94.10203356219837         
106                       103.9555391833854         102.42044683172           100.5935517201673         98.50109704399938         94.80524529019175         
107                       104.9454134666787         103.3945540275953         101.5222102473772         99.35477744057827         95.50775704919096         
108                       105.9353071925036         104.3685494622401         102.4504661545696         100.2077510183301         96.20946235128744         
109                       106.9252205097075         105.3424224655157         103.3782817319332         101.0599464446135         96.91025381755269         
110                       107.9151535572545         106.3161620072529         104.3056182488671         101.911290959002          97.6100230629995          
111                       108.90510646395           107.2897566637908         105.2324358570911         102.761710234912          98.30866058050538         
112                       109.8950793481708         108.2631945823877         106.1586934887135         103.6111282362484         99.00605562359824         
113                       110.8850723176014         109.2364634432701         107.0843487487269         104.4594670685873         99.70209608801132         
114                       111.8750854689753         110.2095504190586         108.0093578013658         105.3066468243999         100.3966683919203         
115                       112.8651188878234         111.1824421312888         108.9336752497091         106.1525854217912         101.0896573547841         
116                       113.8551726482272         112.1551246037086         109.8572540078641         106.9971984362084         101.7809460747195         
117                       114.8452468125782         113.1275832120057         110.7800451650063         107.8403989245422         102.470415804351          
118                       115.8353414313431         114.0998026295771         111.7019978404914         108.6820972410195         103.1579458250866         
119                       116.8254565428344         115.0717667689087         112.623059029179          109.5222008442536         103.8434133197871         
120                       117.8155921729861         116.0434587180879         113.5431734360356         110.3606140947863         104.5266932438082         
121                       118.8057483351346         117.0148606719092         114.4622832989919         111.1972380424261         105.2076581944127         
122                       119.7959250298043         117.9859538569764         115.3803281989378         112.0319702026477         105.8861782785702         
123                       120.7861222444967         118.9567184501254         116.2972448556271         112.8647043212868         106.5621209791791         
124                       121.7763399534839         119.9271334894152         117.2129669081492         113.6953301267249         107.2353510197749         
125                       122.7665781176031         120.8971767768323         118.1274246784899         114.5237330687238         107.9057302278088         
126                       123.7568366840585         121.8668247717567         119.0405449165608         115.3497940430309         108.5731173966143         
127                       124.7471155862142         122.8360524740926         119.9522505249087         116.1733891008423         109.2373681462113         
128                       125.7374147433967         123.8048332958526         120.8624602611475         116.9943891421732         109.8983347831293         
129                       126.7277340606908         124.7731389197931         121.7710884159421         117.8126595921526         110.5558661594757         
130                       127.7180734287332         125.7409391435225         122.6780444641644         118.6280600592312         111.2098075315158         
131                       128.7084327235014         126.7082017072816         123.5832326865906         119.4404439742611         111.8600004180791         
132                       129.6988118060945         127.674892103341          124.4865517592386         120.2496582093918         112.5062824591596         
133                       130.6892105225043         128.6409733646643         125.3878943071476         121.055542675708          113.1484872751343         
134                       131.6796287033733         129.6064058301452         126.2871464190643         121.8579298985395         113.7864443270864         
135                       132.6700661637354         130.5711468833247         127.1841871191401         122.6566445693754         114.419978778787          
136                       133.6605227027364         131.5351506610293         128.0788877913357         123.4515030733486         115.0489113609625         
137                       134.650998103327          132.4983677278226         128.9711115517842         124.2423129912932         115.6730582385534         
138                       135.6414921319248         133.460744711522          129.8607125638794         125.0288725754525         116.2922308817548         
139                       136.6320045380363         134.4222238942778         130.7475352903157         125.8109701980062         116.9062359417189         
140                       137.6225350538313         135.3827427528178         131.6314136757268         126.5883837717203         117.5148751318972         
141                       138.6130833936596         136.3422334404106         132.5121702529312         127.3608801421922         118.1179451161009         
142                       139.6036492534976         137.3006222018493         133.3896151651104         128.1282144513872         118.7152374044666         
143                       140.5942323103106         138.2578287112726         134.2635450955064         128.8901294724375         119.3065382586266         
